depth,count
1427,7
1428,6
1429,10
1430,14
1431,6
1432,16
1433,9
1434,13
1435,11
1436,1
1437,7
1438,13
1439,4
1440,5
1441,18
1442,11
1443,4
1444,11
1445,12
1446,12
1447,3
1448,5
1449,16
1450,13
1451,7
1452,7
1453,13
1454,7
1455,6
1456,12
1457,7
1458,13
1459,10
1460,8
1461,6
1462,12
1463,11
1464,5
1465,11
1466,9
1467,13
1468,13
1469,7
1470,7
1471,5
1472,5
1473,9
1474,16
1475,7
1476,7
1477,20
1478,13
1479,5
1480,4
1481,8
1482,7
1483,3
1484,7
1485,14
1486,19
1487,3
1488,10
1489,14
1490,10
1491,7
1492,3
1493,10
1494,9
1495,14
1496,5
1497,9
1498,12
1499,5
1500,11
1501,8
1502,9
1503,4
1504,15
1505,11
1506,8
1507,9
1508,8
1509,11
1510,8
1511,8
1512,7
1513,11
1514,9
1515,7
1516,8
1517,9
1518,14
1519,9
1520,3
1521,13
1522,19
1523,7
1525,7
1526,10
1527,1
1528,12
1529,11
1530,14
1531,11
1532,6
1533,16
1534,8
1535,5
1536,2
1537,11
1538,7
1539,9
1540,16
1541,8
1542,11
1543,4
1544,11
1545,9
1546,9
1547,8
1548,8
1549,14
1550,9
1551,9
1552,6
1553,8
1554,10
1555,9
1556,7
1557,7
1558,18
1559,5
1560,3
1561,13
1562,10
1563,7
1564,6
1565,12
1566,13
1567,10
1568,5
1569,6
1570,14
1571,2
1572,8
1573,11
1574,10
1575,12
1576,12
1577,14
1578,11
1579,5
1581,9
1582,8
1583,5
1584,12
1585,15
1586,11
1587,6
1588,13
1589,13
1590,5
1591,3
1592,5
1593,10
1594,14
1595,9
1596,6
1597,8
1598,14
1599,7
1600,9
1601,7
1602,9
1603,16
1604,1
1605,11
1606,12
1607,7
1608,5
1609,11
1610,13
1611,6
1612,14
1613,5
1614,13
1615,3
1616,6
1617,15
1618,11
1619,6
1620,7
1621,20
1622,6
1623,2
1624,5
1625,9
1626,9
1627,5
1628,13
1629,12
1630,16
1631,9
1632,8
1633,9
1634,6
1635,6
1636,5
1637,6
1638,14
1639,13
1640,9
1641,7
1642,13
1643,9
1644,5
1645,12
1646,5
1647,8
1648,12
1649,13
1650,9
1651,6
1652,5
1653,8
1654,16
1655,4
1656,7
1657,12
1658,12
1659,8
1660,6
1661,12
1662,9
1663,7
1664,3
1665,15
1666,16
1667,2
1668,7
1669,9
1670,10
1671,6
1672,10
1673,13
1674,9
1675,14
1676,9
1677,10
1678,7
1679,2
1680,6
1681,5
1682,12
1683,9
1684,16
1685,9
1686,11
1687,12
1688,5
1689,8
1690,8
1691,8
1692,2
1693,15
1694,13
1695,5
1696,9
1697,8
1698,17
1699,5
1700,3
1701,13
1702,16
1703,3
1704,5
1705,14
1706,7
1707,6
1708,10
1709,12
1710,13
1711,7
1712,5
1713,9
1714,8
1715,11
1716,6
1717,10
1718,10
1719,9
1720,14
1721,9
1722,7
1723,3
1724,8
1725,7
1726,13
1727,7
1728,10
1729,19
1730,8
1731,10
1732,7
1733,9
1734,4
1735,6
1736,3
1737,10
1738,24
1739,5
1740,7
1741,9
1742,13
1743,8
1744,3
1745,8
1746,11
1747,11
1748,5
1749,12
